Title of event,URL,Date,Catalogue reference ,Period,Catalogue URL,Image link,Image library link,Related material,Notes
Norman Conquest 1086,https://www.nationalarchives.gov.uk/education/resources/significant-events/norman-conquest-1086/,1086,E 31/2/1,Medieval,https://discovery.nationalarchives.gov.uk/details/r/C3755507,,,,
"Magna Carta agreed, 1215",https://www.nationalarchives.gov.uk/education/resources/significant-events/magna-carta-agreed-1215/,1225,DL 10/71,Medieval,https://discovery.nationalarchives.gov.uk/details/r/C3540504,,,,
England faces the Armada,https://www.nationalarchives.gov.uk/education/resources/significant-events/england-faces-the-armada/,1588,SP 12/213,Early Modern,https://discovery.nationalarchives.gov.uk/browse/r/h/C1903207,,,,
Gunpowder plot uncovered,https://www.nationalarchives.gov.uk/education/resources/significant-events/gunpowder-plot-uncovered/,1605,SP 14/216,Early Modern,https://discovery.nationalarchives.gov.uk/details/r/C1902994,,,,
Great Fire of London 1666,https://www.nationalarchives.gov.uk/education/resources/significant-events/great-fire-of-london-1666/,1666,ZJ 1/1,Early Modern,https://discovery.nationalarchives.gov.uk/details/r/C979439,,,,Poor catalogue description - London Gazette
Attempt to steal the Crown Jewels,https://www.nationalarchives.gov.uk/education/resources/significant-events/attempt-to-steal-the-crown-jewels/,1671,SP 29/289/187,Early Modern,https://discovery.nationalarchives.gov.uk/details/r/C3124887,,,,No catalogue description at this level - series level description (SP 29) available
Glorious Revolution 1688,https://www.nationalarchives.gov.uk/education/resources/significant-events/glorious-revolution-1688/,1688,SP 8/1/224,Early Modern,https://discovery.nationalarchives.gov.uk/details/r/C6658172,,,,
Act of Union 1801,https://www.nationalarchives.gov.uk/education/resources/significant-events/act-of-union-1801/,1801,PC 2/157,Empire and industry,https://discovery.nationalarchives.gov.uk/details/r/C1025898,,,,Very poor description - Vol 50.
Battle of Waterloo 1815,https://www.nationalarchives.gov.uk/education/resources/significant-events/battle-of-waterloo-1815/,1815,MPH 1/387/3,Empire and industry,https://discovery.nationalarchives.gov.uk/details/r/C8931506,,,,
Peterloo massacre 1819,https://www.nationalarchives.gov.uk/education/resources/significant-events/peterloo-massacre-1819/,1819,MPI 1/134/19,Empire and industry,https://discovery.nationalarchives.gov.uk/details/r/C4047335,,,,
Early railway transport 1825,https://www.nationalarchives.gov.uk/education/resources/significant-events/early-railway-transport-1825/,1825,RAIL 1148/1,Empire and industry,https://discovery.nationalarchives.gov.uk/details/r/C2193660,,,,
Great Exhibition 1851,https://www.nationalarchives.gov.uk/education/resources/significant-events/great-exhibition-1851/,1851,ZLIB 17/81,Victorians,https://discovery.nationalarchives.gov.uk/details/r/C2507300,,,,
Early Cinema 1899,https://www.nationalarchives.gov.uk/education/resources/significant-events/early-cinema-1899/,1899,COPY 1/149,Victorians,https://discovery.nationalarchives.gov.uk/details/r/C325896,,,,Poor catalogue description
Wright Brothers 1908,https://www.nationalarchives.gov.uk/education/resources/significant-events/wright-brothers-1908/,1908,AIR 1/728/176/3/33,Early 20th Century,https://discovery.nationalarchives.gov.uk/details/r/C4082864,,,,
Memorial to the sinking of RMS Titanic 1912,https://www.nationalarchives.gov.uk/education/resources/significant-events/memorial-to-the-sinking-of-rms-titanic-1912/,1912,COPY 1/566,Early 20th Century,https://discovery.nationalarchives.gov.uk/details/r/C9272738,https://www.nationalarchives.gov.uk/wp-content/uploads/2019/03/COPY-1_566-_70_-Titanic-memorial.jpg,https://images.nationalarchives.gov.uk/assetbank-nationalarchives/action/viewAsset?id=10155&index=1&total=423&view=viewSearchItem,https://www.nationalarchives.gov.uk/titanic/,
Titanic telegram 1912,https://www.nationalarchives.gov.uk/education/resources/significant-events/titanic-telegram-1912/,1912,MT 9/920C,Early 20th Century,https://discovery.nationalarchives.gov.uk/details/r/C5907412,https://www.nationalarchives.gov.uk/wp-content/uploads/2019/03/MT-9_920C-_526_1854-1969-Titanic.jpg,https://images.nationalarchives.gov.uk/assetbank-nationalarchives/action/viewAsset?id=29435&index=9&total=32&view=viewSearchItem,https://www.nationalarchives.gov.uk/titanic/,
Suffragettes outside Parliament 1913,https://www.nationalarchives.gov.uk/education/resources/significant-events/suffragettes-outside-parliament-1913/,1913,ZPER 34/142,Early 20th Century,https://discovery.nationalarchives.gov.uk/details/r/C1849018,https://www.nationalarchives.gov.uk/wp-content/uploads/2019/03/ZPER-34_142_F-suffragettes-Parliament.jpg,https://images.nationalarchives.gov.uk/assetbank-nationalarchives/action/viewAsset?id=82728&index=0&total=8&view=viewSearchItem,,
